WARNING 2026-06-20 13:05:18,882 log 12092 14636 Not Found: /media/productos/agua-san-luis-625ml.png
WARNING 2026-06-20 13:05:18,884 log 12092 13580 Not Found: /media/productos/arroz-extra-costeño5kg.png
WARNING 2026-06-20 13:05:18,885 basehttp 12092 14636 "GET /media/productos/agua-san-luis-625ml.png HTTP/1.1" 404 2663
WARNING 2026-06-20 13:05:18,887 basehttp 12092 13580 "GET /media/productos/arroz-extra-coste%C3%B1o5kg.png HTTP/1.1" 404 2683
WARNING 2026-06-20 13:05:18,921 log 12092 4180 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 13:05:18,922 basehttp 12092 4180 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 13:05:19,196 log 12092 10012 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 13:05:19,196 basehttp 12092 10012 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 13:05:19,210 log 12092 10100 Not Found: /media/productos/Arroz_9GQbrr3.png
WARNING 2026-06-20 13:05:19,211 log 12092 14412 Not Found: /media/productos/agua-san-luis-625ml.png
WARNING 2026-06-20 13:05:19,212 log 12092 9724 Not Found: /media/productos/arroz-extra-costeño5kg.png
WARNING 2026-06-20 13:05:19,212 basehttp 12092 10100 "GET /media/productos/Arroz_9GQbrr3.png HTTP/1.1" 404 2639
WARNING 2026-06-20 13:05:19,213 basehttp 12092 14412 "GET /media/productos/agua-san-luis-625ml.png HTTP/1.1" 404 2663
WARNING 2026-06-20 13:05:19,214 basehttp 12092 9724 "GET /media/productos/arroz-extra-coste%C3%B1o5kg.png HTTP/1.1" 404 2683
WARNING 2026-06-20 13:07:06,747 log 12092 10612 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 13:07:06,748 basehttp 12092 10612 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 13:07:07,087 log 12092 17752 Not Found: /media/productos/agua-san-luis-625ml.png
WARNING 2026-06-20 13:07:07,088 log 12092 20212 Not Found: /media/productos/Arroz_9GQbrr3.png
WARNING 2026-06-20 13:07:07,089 log 12092 11464 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 13:07:07,092 basehttp 12092 17752 "GET /media/productos/agua-san-luis-625ml.png HTTP/1.1" 404 2663
WARNING 2026-06-20 13:07:07,092 basehttp 12092 20212 "GET /media/productos/Arroz_9GQbrr3.png HTTP/1.1" 404 2639
WARNING 2026-06-20 13:07:07,090 log 12092 16172 Not Found: /media/productos/arroz-extra-costeño5kg.png
WARNING 2026-06-20 13:07:07,093 basehttp 12092 11464 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
